Paraguay,PRY,7.90701,7.96207,11.21,14.27,18.9,19.8,24.7635,29.34,36.9,43,49.72,53.4041,61.0758,64.9935,68.5176
French Polynesia,PYF,21.5422,25.108,28.59,33.87,44.6,49,49,52.8766,56.8,60.68,64.5602,68.4404,72.7039,72.7039,72.7039
Qatar,QAT,24.7335,28.9741,37,44.3,53.1,69,69,69.3,85.3,91.49,92.8848,95.1247,97.3888,99.6528,99.6528
Romania,ROU,21.5,24.66,28.3,32.42,36.6,39.93,40.01,45.88,49.7645,54.08,55.7632,59.504,63.7473,70.6813,73.6575
Russian Federation,RUS,15.2267,18.0233,24.66,26.83,29,43,49,63.8,67.97,70.52,70.1,73.0914,76.0081,80.8647,82.6422
Rwanda,RWA,0.556041,0.556041,2.11539,4.5,7.7,8,7,8.02385,9,10.6,18,20,21.7676,21.7676,21.7676
Saudi Arabia,SAU,12.705,19.4596,30,36,38,41,47.5,54,60.5,64.7137,69.6162,74.8793,82.12,93.31,95.7247
Sudan,SDN,1.29204,1.29204,8.66,8.66,8.66,16.7,17.46,21,22.7,24.64,26.61,14.1,30.8703,30.8703,30.8703
Senegal,SEN,4.78668,5.61174,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,27,25.6648,46,46,46
Singapore,SGP,61,59,69.9,69,69,71,71,72,80.9021,79.0292,79.013,84.4523,84.4495,88.1656,88.9493
Solomon Islands,SLB,0.844308,1.64635,2,3,4,5,6,6.9974,8,9,10.0005,11.0009,11.9242,11.9242,11.9242
Sierra Leone,SLE,0.215392,0.227669,0.239835,0.25,0.26,0.58,0.9,2.5,4,6.0573,6.34442,11.7732,9,9,9
El Salvador,SLV,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.3214,23.1093,24.7617,26.8026,28.9971,33.8207,33.8207,33.8207
San Marino,SMR,50.2596,50.2087,50.3648,54.52,54.21,54.21,49.6,49.6,49.6,49.6,49.6,49.6,60.1823,60.1823,60.1823
Somalia,SOM,1.07733,1.10022,1.12224,1.14269,1.16061,1.16061,1.25,1.3767,1.5,1.63,1.76,1.88,2.00405,2.00405,2.00405
Serbia,SRB,26.3,27.2,33.15,35.6,38.1,40.9,42.2,48.1,53.4504,62.0751,65.317,67.0568,70.3308,73.3607,77.4168
Sao Tome and Principe,STP,13.7595,14.182,14.5905,15.48,16.41,18.75,20.1612,21.5724,23,24.41,25.82,28,29.9312,29.9312,29.9312
Suriname,SUR,6.40309,9.49963,14.11,21.06,31.36,31.59,32,34.6812,37.4,40.08,42.7638,45.4,48.9452,48.9452,48.9452
Slovak Republic,SVK,55.19,56.08,61.8,66.05,70,75.71,74.44,76.71,77.8826,79.98,77.6347,80.4759,81.6257,80.6603,82.8537
Slovenia,SVN,46.81,54.01,56.74,58,64,70,67.34,68.35,72.6756,71.59,73.0987,75.4985,78.8854,79.75,83.1084
Sweden,SWE,84.83,87.76,82.01,90,91,90,92.77,93.18,94.7836,92.52,90.6102,89.6509,95.5101,92.1417,94.4934
Eswatini,SWZ,3.69696,3.69654,4.1,6.85,8.94,11.04,18.13,20.7818,24.7,26.175,25.643,28.5735,47,47,47
Seychelles,SYC,25.4133,34.952,38.38,40.44,40.44,41,43.164,47.076,50.4,51.2547,54.2596,56.5147,58.7698,58.7698,58.7698
Syrian Arab Republic,SYR,5.64811,7.83255,11.5,14,17.3,20.7,22.5,24.3001,26.2,28.09,29.9798,31.8696,34.2534,34.2534,34.2534
Chad,TCD,0.399258,0.581046,0.847225,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5,6.5,6.5,6.5
Togo,TGO,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,11.31,12.3602,12.3602,12.3602
Thailand,THA,15.026,17.1607,20.03,18.2,20.1,22.4,23.6699,26.46,28.94,34.89,39.3161,47.505,52.8919,56.8175,66.6524
Tajikistan,TJK,0.29869,3.77241,7.19762,8.78,10.07,11.55,13.03,14.51,16,17.49,18.98,20.47,21.96,21.96,21.96
Turkmenistan,TKM,0.997257,1.31957,1.40636,1.75,1.95,3,5,7.1958,9.6,12.2,14.9968,17.9903,21.251,21.251,21.251
Timor-Leste,TLS,0.0990318,0.5,1,1.5,2,3,4,7,11,17.5,23,25.2462,27.4927,27.4927,27.4927
Tonga,TON,4.90778,5.85394,7.17987,8.11077,10,16,25,30,32.754,35.9544,38.6513,39.95,41.2487,41.2487,41.2487
Trinidad and Tobago,TTO,28.9767,30.0037,32.3,34.8,44.3,48.5,55.2,59.5162,63.8,65.1,69.1985,73.2969,77.3261,77.3261,77.3261
Tunisia,TUN,9.65509,12.9864,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,46.5,49.6,64.1908,64.1908,66.7
Turkey,TUR,15.46,18.24,28.63,34.37,36.4,39.82,43.0657,45.13,46.25,51.04,53.745,58.3477,64.6846,71.0428,73.9767
Tanzania,TZA,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,7,20,13,25,25,25
Uganda,UGA,1.74221,2.52936,3.67197,7.9,9.78,12.5,13.0135,14.1,15.5,16.9,17.8349,21.8762,23.7065,23.7065,23.7065
Ukraine,UKR,3.74976,4.50612,6.55,11,17.9,23.3,28.7083,35.27,40.9541,46.236,48.8846,53,58.8895,58.8895,58.8895
Uruguay,URY,20.0882,29.4,34,39.3,41.8,46.4,51.4047,54.4538,57.69,61.46,64.5708,66.4,68.2797,68.2797,76.9496
United States,USA,67.9681,68.9312,75,74,71,71.69,69.7295,74.7,71.4,73,74.5542,85.5444,87.2661,87.2661,87.2661
Uzbekistan,UZB,3.34351,6.38832,7.4906,9.08011,11.9,15.9,18.6,23.6,26.8,35.5,42.8,46.7913,52.3051,52.3051,52.3051
Virgin Islands (U.S.),VIR,27.3443,27.3326,27.3393,27.3618,27.3965,31.22,35.6,40.5479,45.3,50.07,54.8391,59.6083,64.3775,64.3775,64.3775
Vietnam,VNM,12.7399,17.2546,20.7554,23.92,26.55,30.65,35.07,36.8,38.5,41,45,53,58.14,70.3496,68.7
Vanuatu,VUT,5.08233,5.85059,6.8,7.26912,7.5,8,9.2,10.598,11.3,18.8,22.3514,24,25.7198,25.7198,25.7198
Samoa,WSM,3.35259,4.46917,4.74998,5.03162,6,7,11,12.9225,15.3,21.2,25.407,29.4117,33.6109,33.6109,33.6109
South Africa,ZAF,7.48854,7.60714,8.06538,8.43,10,24,33.97,41,46.5,49,51.9191,54,56.1674,56.1674,56.1674
Zambia,ZMB,2.85175,4.15991,4.87,5.55,6.31,10,11.5,13.4682,15.4,19,21,25.5066,27.8526,14.3,14.3
Zimbabwe,ZWE,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.3647,22.7428,23.12,27.0555,27.0555,27.0555
